"row_type","sample_cycle","observed_at_local","seconds_since_start","seconds_since_water_start","test_name","phase_label","basket_id","emitter_location","placement_label","sensor_position_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","visual_note","handheld_note","note","error"
"data","553","2026-05-22 21:21:29","98401.1","97801","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 21:21:27","80.6","89.0","86.0","1571","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","553","2026-05-22 21:21:29","98401.2","97801","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 21:21:28","80.2","76.0","80.0","1697","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","554","2026-05-22 21:26:29","98701.4","98101.3","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 21:26:28","81.7","89.0","86.0","1564","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","554","2026-05-22 21:26:29","98701.5","98101.3","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 21:26:28","79.3","76.0","80.0","1709","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","555","2026-05-22 21:31:29","99001.4","98400.5","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 21:31:27","81.1","89.0","85.0","1575","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","555","2026-05-22 21:31:29","99001.6","98400.5","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 21:31:28","79.9","76.0","80.0","1701","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","556","2026-05-22 21:36:29","99300.8","98700.7","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 21:36:27","80.8","89.0","86.0","1569","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","556","2026-05-22 21:36:29","99301.7","98700.7","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 21:36:28","79.3","76.0","81.0","1686","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","557","2026-05-22 21:41:29","99600.8","99000.7","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 21:41:27","81.0","89.0","86.0","1570","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","557","2026-05-22 21:41:29","99600.9","99000.7","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 21:41:27","80.4","76.0","80.0","1696","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
