"sample_number","observed_at_local","device_name","ip","device_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","error"
"1","2026-05-17 18:50:02","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:50:02","82.0","73.0","80.0","1719","False",""
"1","2026-05-17 18:50:03","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:50:02","82.9","81.0","75.0",,"False",""
"2","2026-05-17 18:50:33","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:50:32","81.9","73.0","80.0","1698","False",""
"2","2026-05-17 18:50:33","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:50:32","84.0","81.0","74.0",,"False",""
"3","2026-05-17 18:51:03","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:51:02","81.1","74.0","79.0","1724","False",""
"3","2026-05-17 18:51:03","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:51:02","82.4","81.0","75.0",,"False",""
"4","2026-05-17 18:51:33","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:51:32","80.8","73.0","80.0","1701","False",""
"4","2026-05-17 18:51:33","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:51:32","83.7","81.0","74.0",,"False",""
"5","2026-05-17 18:52:03","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:52:02","82.0","73.0","83.0","1634","False",""
"5","2026-05-17 18:52:03","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:52:03","83.8","81.0","74.0",,"False",""
"6","2026-05-17 18:52:34","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:52:33","81.7","73.0","82.0","1659","False",""
"6","2026-05-17 18:52:34","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:52:33","81.1","82.0","75.0",,"False",""
"7","2026-05-17 18:53:04","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:53:03","81.3","74.0","80.0","1711","False",""
"7","2026-05-17 18:53:04","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:53:03","81.9","82.0","74.0",,"False",""
"8","2026-05-17 18:53:34","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:53:33","80.8","73.0","81.0","1690","False",""
"8","2026-05-17 18:53:34","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:53:33","82.0","82.0","74.0",,"False",""
"9","2026-05-17 18:54:04","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:54:03","81.7","74.0","83.0","1643","False",""
"9","2026-05-17 18:54:04","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:54:03","81.3","82.0","75.0",,"False",""
"10","2026-05-17 18:54:34","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:54:33","82.2","74.0","80.0","1703","False",""
"10","2026-05-17 18:54:34","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:54:34","81.7","83.0","75.0",,"False",""
"11","2026-05-17 18:55:05","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:55:04","80.8","74.0","81.0","1680","False",""
"11","2026-05-17 18:55:05","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:55:04","81.3","82.0","75.0",,"False",""
"12","2026-05-17 18:55:35","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-17 18:55:34","80.8","74.0","82.0","1665","False",""
"12","2026-05-17 18:55:35","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-17 18:55:34","80.8","83.0","74.0",,"False",""
