"sample_cycle","observed_at_local","condition_label","placement_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"7","2026-05-19 17:23:08","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:23:06","84.4","68.0","72.0","1896","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"7","2026-05-19 17:23:08","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:23:06","83.1","62.0","75.0","1842","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"8","2026-05-19 17:25:08","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:25:06","85.5","68.0","73.0","1887","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"8","2026-05-19 17:25:08","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:25:06","83.8","62.0","74.0","1847","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"9","2026-05-19 17:27:09","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:27:06","85.5","68.0","72.0","1899","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"9","2026-05-19 17:27:09","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:27:06","83.1","62.0","75.0","1829","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"10","2026-05-19 17:29:09","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:29:07","84.2","68.0","72.0","1903","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"10","2026-05-19 17:29:09","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:29:06","83.7","63.0","75.0","1819","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"11","2026-05-19 17:31:09","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:31:07","85.8","68.0","72.0","1914","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"11","2026-05-19 17:31:09","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:31:07","83.5","63.0","75.0","1837","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"12","2026-05-19 17:33:09","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:33:07","84.6","68.0","72.0","1904","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"12","2026-05-19 17:33:09","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:33:07","82.4","63.0","75.0","1838","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"13","2026-05-19 17:35:10","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:35:07","84.4","68.0","72.0","1903","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
