"sample_cycle","observed_at_local","test_name","condition_phase","basket_id","emitter_location","placement_label","sensor_position_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"6","2026-05-20 21:07:39","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:07:38","77.2","88.0","73.0","1879","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"6","2026-05-20 21:07:40","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:07:38","77.5","77.0","69.0","1984","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"7","2026-05-20 21:08:40","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:08:38","77.0","89.0","73.0","1881","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"7","2026-05-20 21:08:40","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:08:39","78.4","77.0","68.0","1990","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"8","2026-05-20 21:09:40","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:09:39","77.2","88.0","73.0","1869","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"8","2026-05-20 21:09:40","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:09:39","77.4","76.0","69.0","1981","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"9","2026-05-20 21:10:40","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:10:39","77.9","89.0","73.0","1886","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"9","2026-05-20 21:10:40","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:10:39","77.9","77.0","69.0","1969","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
"10","2026-05-20 21:11:40","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-B after reinsertion repeatability test","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 21:11:39","78.6","89.0","73.0","1872","False","2026-05-20 16:01:50","40","No watering; no touching; checking post-reinsertion settling/drift",""
"10","2026-05-20 21:11:40","phase6k1_b3e1_post_reinsert_no_touch_settling","no_watering_no_touch_settling","B3","B3E1","B3E1 sensors left untouched after reinsertion repeatability test","B3E1-A after reinsertion repeatability test","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 21:11:39","77.4","76.0","69.0","1969","False","N/A","0","No watering; no touching; checking post-reinsertion settling/drift",""
