"sample_number","observed_at_local","device_name","ip","device_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","error"
"1","2026-05-18 16:34:19","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:34:18","82.6","59.0","77.0","1776","False",""
"1","2026-05-18 16:34:24","installed-balcony-unit","10.0.0.200","","","","","","","","The operation has timed out."
"2","2026-05-18 16:34:54","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:34:53","82.6","60.0","77.0","1773","False",""
"2","2026-05-18 16:34:54","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:34:54","84.6","62.0","75.0",,"False",""
"3","2026-05-18 16:35:24","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:35:23","83.8","60.0","77.0","1779","False",""
"3","2026-05-18 16:35:25","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:35:24","85.5","62.0","75.0",,"False",""
"4","2026-05-18 16:35:55","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:35:54","83.8","60.0","77.0","1783","False",""
"4","2026-05-18 16:35:55","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:35:54","85.3","62.0","75.0",,"False",""
"5","2026-05-18 16:36:25","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:36:24","84.0","60.0","76.0","1797","False",""
"5","2026-05-18 16:36:25","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:36:24","85.6","62.0","75.0",,"False",""
"6","2026-05-18 16:36:55","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:36:54","83.5","60.0","78.0","1764","False",""
"6","2026-05-18 16:36:55","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:36:54","85.8","63.0","75.0",,"False",""
"7","2026-05-18 16:37:25","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:37:24","83.7","61.0","77.0","1783","False",""
"7","2026-05-18 16:37:26","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:37:25","84.9","63.0","75.0",,"False",""
"8","2026-05-18 16:37:56","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:37:55","82.9","61.0","77.0","1779","False",""
"8","2026-05-18 16:37:56","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:37:55","84.9","63.0","75.0",,"False",""
"9","2026-05-18 16:38:26","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:38:25","83.7","61.0","77.0","1778","False",""
"9","2026-05-18 16:38:26","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:38:25","85.1","62.0","75.0",,"False",""
"10","2026-05-18 16:38:56","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:38:55","83.7","60.0","77.0","1787","False",""
"10","2026-05-18 16:38:56","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:38:55","85.6","62.0","75.0",,"False",""
"11","2026-05-18 16:39:26","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:39:25","83.1","60.0","77.0","1777","False",""
"11","2026-05-18 16:39:26","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:39:25","84.6","62.0","75.0",,"False",""
"12","2026-05-18 16:39:56","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 16:39:55","83.8","60.0","77.0","1777","False",""
"12","2026-05-18 16:39:57","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 16:39:56","85.8","62.0","75.0",,"False",""
