"sample_number","observed_at_local","device_name","ip","device_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","error"
"1","2026-05-18 17:29:08","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:29:07","83.1","60.0","78.0","1769","False",""
"1","2026-05-18 17:29:08","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:29:07","85.3","62.0","75.0",,"False",""
"2","2026-05-18 17:29:38","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:29:37","82.6","60.0","77.0","1790","False",""
"2","2026-05-18 17:29:38","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:29:37","85.6","63.0","74.0",,"False",""
"3","2026-05-18 17:30:09","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:30:07","83.7","61.0","77.0","1787","False",""
"3","2026-05-18 17:30:09","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:30:08","84.7","63.0","75.0",,"False",""
"4","2026-05-18 17:30:39","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:30:38","83.5","61.0","77.0","1772","False",""
"4","2026-05-18 17:30:39","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:30:38","84.4","63.0","75.0",,"False",""
"5","2026-05-18 17:31:09","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:31:08","83.5","60.0","77.0","1776","False",""
"5","2026-05-18 17:31:09","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:31:08","84.9","62.0","75.0",,"False",""
"6","2026-05-18 17:31:39","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:31:38","82.6","60.0","76.0","1794","False",""
"6","2026-05-18 17:31:39","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:31:38","84.9","62.0","75.0",,"False",""
"7","2026-05-18 17:32:09","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:32:08","83.5","60.0","77.0","1781","False",""
"7","2026-05-18 17:32:09","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:32:09","85.5","62.0","75.0",,"False",""
"8","2026-05-18 17:32:40","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:32:38","83.5","60.0","77.0","1776","False",""
"8","2026-05-18 17:32:40","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:32:39","85.6","62.0","75.0",,"False",""
"9","2026-05-18 17:33:10","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:33:09","82.9","60.0","78.0","1765","False",""
"9","2026-05-18 17:33:10","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:33:09","84.4","62.0","75.0",,"False",""
"10","2026-05-18 17:33:40","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:33:39","82.9","60.0","77.0","1783","False",""
"10","2026-05-18 17:33:40","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:33:39","85.6","62.0","75.0",,"False",""
"11","2026-05-18 17:34:10","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:34:09","83.5","60.0","77.0","1774","False",""
"11","2026-05-18 17:34:10","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:34:09","84.4","62.0","75.0",,"False",""
"12","2026-05-18 17:34:41","balcony-scout-01","10.0.0.180","28f4e6e3-5979-4af4-9753-34e185d8e47e","2026-05-18 17:34:39","84.0","60.0","77.0","1776","False",""
"12","2026-05-18 17:34:41","installed-balcony-unit","10.0.0.200","550e8400-e29b-41d4-a716-446655440000","2026-05-18 17:34:40","83.8","63.0","75.0",,"False",""
