"row_type","sample_cycle","observed_at_local","seconds_since_start","seconds_since_move","test_name","phase_label","basket_id","emitter_location","placement_label","sensor_position_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"event_marker","","2026-05-20 23:23:10","0","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","experiment_start","","","Experiment start: SM01 at B3E1; SM02 starts near B3E1 before planned move to B6E2.","","event_marker","","","","","","","","","","","","","","","","Experiment start: SM01 at B3E1; SM02 starts near B3E1 before planned move to B6E2.",""
"data","12","2026-05-20 23:25:55","165.4","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:25:55","76.8","82.0","70.0","1945","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","13","2026-05-20 23:26:10","180.5","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:26:10","77.0","93.0","75.0","1831","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","13","2026-05-20 23:26:10","180.6","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:26:10","76.5","83.0","70.0","1947","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","14","2026-05-20 23:26:24","194.7","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:26:24","77.5","93.0","75.0","1830","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","14","2026-05-20 23:26:24","194.8","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:26:24","76.3","83.0","70.0","1954","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","15","2026-05-20 23:26:39","209.8","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:26:39","77.2","93.0","75.0","1825","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","15","2026-05-20 23:26:39","209.9","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:26:39","75.7","83.0","69.0","1968","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","16","2026-05-20 23:26:55","225","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:26:54","77.5","93.0","75.0","1822","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","16","2026-05-20 23:26:55","225.2","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:26:54","75.7","83.0","71.0","1931","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","17","2026-05-20 23:27:10","240.3","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:27:09","77.9","93.0","75.0","1829","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","17","2026-05-20 23:27:10","240.4","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:27:10","76.5","83.0","71.0","1931","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","18","2026-05-20 23:27:25","255.6","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:27:25","78.4","93.0","75.0","1834","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","18","2026-05-20 23:27:25","255.7","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:27:25","75.7","83.0","70.0","1953","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","19","2026-05-20 23:27:39","269.8","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:27:39","78.1","93.0","75.0","1823","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","19","2026-05-20 23:27:39","269.9","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:27:39","76.8","83.0","70.0","1942","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","20","2026-05-20 23:27:55","285.1","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:27:54","77.4","93.0","75.0","1833","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","20","2026-05-20 23:27:55","285.2","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:27:54","75.6","83.0","71.0","1940","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","21","2026-05-20 23:28:10","300.3","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:28:09","78.1","93.0","75.0","1825","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","21","2026-05-20 23:28:10","300.4","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:28:10","75.6","83.0","71.0","1935","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","22","2026-05-20 23:28:25","315.6","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:28:25","78.1","93.0","75.0","1829","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","22","2026-05-20 23:28:25","315.7","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:28:25","75.7","83.0","71.0","1936","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","23","2026-05-20 23:28:39","329.8","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 installed sensor location - not moved","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-20 23:28:39","78.6","93.0","75.0","1827","False","2026-05-20 16:01:50","40","Continuous no-watering capture; scout sensor move/settling experiment",""
"data","23","2026-05-20 23:28:40","329.9","","phase6k1_b3e1_vs_b6e2_continuous_scout_move_settling","pre_move_b3e1_fast_baseline","B3","B3E1","SM01 remains at B3E1; SM02 moves from B3E1 to B6E2 while capture continues","B3E1 scout starting location before move","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-20 23:28:39","75.7","82.0","71.0","1936","False","N/A","0","Continuous no-watering capture; scout sensor move/settling experiment",""
