"sample_cycle","observed_at_local","test_name","condition_phase","basket_id","emitter_location","placement_label","script_start","planned_water_start","planned_water_end","planned_water_duration_s","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","visual_note","holdall_moisture_note","error"
"6","2026-05-19 20:37:27","phase6k1_b3e1_40s_watering_response","pre_watering","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:37:24","78.1","72.0","75.0","1831","False","N/A","0","","",""
"7","2026-05-19 20:37:42","phase6k1_b3e1_40s_watering_response","pre_watering","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:37:39","78.8","82.0","73.0","1889","False","N/A","0","","",""
"7","2026-05-19 20:37:42","phase6k1_b3e1_40s_watering_response","pre_watering","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:37:39","77.5","73.0","75.0","1828","False","N/A","0","","",""
"8","2026-05-19 20:37:57","phase6k1_b3e1_40s_watering_response","pre_watering","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:37:55","79.7","82.0","73.0","1891","False","N/A","0","","",""
"8","2026-05-19 20:37:57","phase6k1_b3e1_40s_watering_response","pre_watering","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:37:55","78.4","72.0","75.0","1835","False","N/A","0","","",""
"9","2026-05-19 20:38:13","phase6k1_b3e1_40s_watering_response","planned_40s_watering_window","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:38:11","79.5","82.0","73.0","1889","False","N/A","0","","",""
"9","2026-05-19 20:38:13","phase6k1_b3e1_40s_watering_response","planned_40s_watering_window","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:38:11","77.4","72.0","75.0","1831","False","N/A","0","","",""
"10","2026-05-19 20:38:28","phase6k1_b3e1_40s_watering_response","planned_40s_watering_window","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:38:26","80.4","82.0","73.0","1887","False","N/A","0","","",""
"10","2026-05-19 20:38:28","phase6k1_b3e1_40s_watering_response","planned_40s_watering_window","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:38:26","77.2","72.0","75.0","1840","False","N/A","0","","",""
"11","2026-05-19 20:38:44","phase6k1_b3e1_40s_watering_response","planned_40s_watering_window","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:38:41","78.8","82.0","72.0","1895","False","N/A","0","","",""
