"sample_cycle","observed_at_local","test_name","condition_phase","basket_id","emitter_location","placement_label","script_start","planned_water_start","planned_water_end","planned_water_duration_s","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","visual_note","holdall_moisture_note","error"
"128","2026-05-19 21:59:25","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 21:59:24","77.5","89.0","77.0","1777","False","2026-05-19 20:38:41","40","","",""
"128","2026-05-19 21:59:25","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 21:59:25","76.3","78.0","77.0","1770","False","N/A","0","","",""
"129","2026-05-19 22:00:25","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:00:25","77.2","89.0","77.0","1792","False","2026-05-19 20:38:41","40","","",""
"129","2026-05-19 22:00:25","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:00:25","75.6","78.0","77.0","1778","False","N/A","0","","",""
"130","2026-05-19 22:01:25","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:01:25","77.2","89.0","77.0","1779","False","2026-05-19 20:38:41","40","","",""
"130","2026-05-19 22:01:25","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:01:25","75.4","78.0","77.0","1786","False","N/A","0","","",""
"131","2026-05-19 22:02:25","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:02:25","78.1","89.0","77.0","1791","False","2026-05-19 20:38:41","40","","",""
"131","2026-05-19 22:02:25","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:02:25","76.6","78.0","78.0","1766","False","N/A","0","","",""
"132","2026-05-19 22:03:26","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:03:25","77.2","89.0","77.0","1781","False","2026-05-19 20:38:41","40","","",""
"132","2026-05-19 22:03:26","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:03:25","76.3","78.0","77.0","1771","False","N/A","0","","",""
"133","2026-05-19 22:04:26","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:04:25","78.6","89.0","77.0","1776","False","2026-05-19 20:38:41","40","","",""
"133","2026-05-19 22:04:26","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:04:26","76.1","78.0","77.0","1771","False","N/A","0","","",""
"134","2026-05-19 22:05:26","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:26","77.7","89.0","77.0","1783","False","2026-05-19 20:38:41","40","","",""
"134","2026-05-19 22:05:26","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:26","76.5","78.0","78.0","1763","False","N/A","0","","",""
"135","2026-05-19 22:05:26","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:26","77.7","89.0","77.0","1787","False","2026-05-19 20:38:41","40","","",""
"135","2026-05-19 22:05:26","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:26","76.5","78.0","77.0","1776","False","N/A","0","","",""
"136","2026-05-19 22:05:26","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:26","77.7","89.0","77.0","1783","False","2026-05-19 20:38:41","40","","",""
"136","2026-05-19 22:05:26","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:26","76.5","78.0","77.0","1782","False","N/A","0","","",""
"137","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:26","77.7","89.0","77.0","1784","False","2026-05-19 20:38:41","40","","",""
"137","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:26","76.5","78.0","77.0","1773","False","N/A","0","","",""
"138","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:26","77.7","89.0","77.0","1791","False","2026-05-19 20:38:41","40","","",""
"138","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","77.0","1776","False","N/A","0","","",""
"139","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1784","False","2026-05-19 20:38:41","40","","",""
"139","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","78.0","1763","False","N/A","0","","",""
"140","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1787","False","2026-05-19 20:38:41","40","","",""
"140","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","77.0","1776","False","N/A","0","","",""
"141","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1774","False","2026-05-19 20:38:41","40","","",""
"141","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","77.0","1775","False","N/A","0","","",""
"142","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","76.0","1795","False","2026-05-19 20:38:41","40","","",""
"142","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","78.0","1763","False","N/A","0","","",""
"143","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1776","False","2026-05-19 20:38:41","40","","",""
"143","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","77.0","1787","False","N/A","0","","",""
"144","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1786","False","2026-05-19 20:38:41","40","","",""
"144","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","78.0","1757","False","N/A","0","","",""
"145","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1787","False","2026-05-19 20:38:41","40","","",""
"145","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","77.0","1779","False","N/A","0","","",""
"146","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1791","False","2026-05-19 20:38:41","40","","",""
"146","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","78.0","1769","False","N/A","0","","",""
"147","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1781","False","2026-05-19 20:38:41","40","","",""
"147","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","77.0","1775","False","N/A","0","","",""
"148","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1778","False","2026-05-19 20:38:41","40","","",""
"148","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","78.0","1769","False","N/A","0","","",""
"149","2026-05-19 22:05:27","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1793","False","2026-05-19 20:38:41","40","","",""
"149","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","77.0","1773","False","N/A","0","","",""
"150","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:27","77.7","89.0","77.0","1789","False","2026-05-19 20:38:41","40","","",""
"150","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:27","76.5","78.0","77.0","1773","False","N/A","0","","",""
"151","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:28","77.7","89.0","77.0","1779","False","2026-05-19 20:38:41","40","","",""
"151","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:28","75.2","78.0","77.0","1777","False","N/A","0","","",""
"152","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:28","77.0","89.0","77.0","1782","False","2026-05-19 20:38:41","40","","",""
"152","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:28","75.2","78.0","77.0","1773","False","N/A","0","","",""
"153","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:28","77.0","89.0","77.0","1779","False","2026-05-19 20:38:41","40","","",""
"153","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:28","75.2","78.0","77.0","1779","False","N/A","0","","",""
"154","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:28","77.0","89.0","77.0","1778","False","2026-05-19 20:38:41","40","","",""
"154","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:28","75.2","78.0","77.0","1786","False","N/A","0","","",""
"155","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 22:05:28","77.0","89.0","77.0","1781","False","2026-05-19 20:38:41","40","","",""
"155","2026-05-19 22:05:28","phase6k1_b3e1_40s_watering_response","post_watering_60_to_90_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 22:05:28","75.2","78.0","77.0","1782","False","N/A","0","","",""
